SUBJECT_CODE,SUBJECT_NAME,CREDITS
2005601,Internet of Things,3
2005602,Data Mining,3
2005603,Cryptography & Network Security,3
20OE503,Java Programming,3
20OE504,Web Designing,3
2005604,Artificial Intelligence,3
2005605,Software Testing,3
2005606,Adhoc & Sensor Networks,3
2005607,IOT Lab,1.5
2005608,Data Mining Lab,1.5
2005609,Network Security Lab,1.5
2005610,Data Science For Begineers,2
20MC612,Management Organizational Behavior,0
2001601,Environmental Engineering,3
2001602,Water Resources Engineering,3
2001603,Design of Reinforced Concrete Structures,3
2001604,Pre-stressed Concrete ,3
2001605,Bridge Engineering,3
2001606,Traffic Engineering,3
2006601,Human Resource Development,3
2006602,Digital Marketing,3
2006603,Project Management,3
20993M3,Constitution of India,0
2001607,Environmental Engineering Lab,1.5
2001608,Computer Aided Design and Drafting Lab,1.5
2001609,Advanced Concrete Technology Lab,1.5
20016S4,Advanced English Communication skills lab,2
2002601,Microprocessor & Microcontrollers,3
2002602,Fundamentals of Electric Drives,3
2002603,Switchgear & Protection,3
2002604,Power System Operation & Contro,3
2002605,HVDC Transmission,3
2002606,Signals & Systems,3
2002607,Power Electronics Lab,1.5
2002608,Power System- II Lab,1.5
2004609,Advanced Programming Lab E,1.5
2002610,Skill Advanced Course,2
20MC612 M,Management Organizational Behavior,0
2004601,Digital Signal Processing(DSP),3
2004602,Microwave Engineering,3
2004603,Control Systems,3
2004604,CMOS VLSI Design,3
2004605,Information Theory & Coding,3
2004606,Sensors and Actuators,3
2006601,Human Resource Development,3
2006602,Digital Marketing,3
2006603,Project Management,3
2004607,DSP Lab,1.5
2004608,Microwave & Optical Communication Lab,1.5
2004609,VLSI Design Laboratory,1.5
20SC610,Advanced English Communication lab,2
20MC609,Constitution of India,0
2003601,Operations Research,3
2003602,Finite Element Methods (FEM),3
2003603,Introduction to CADCAM,3
2003604,Dynamics of machinery,3
2003605,Solar and Wind Energy Systems,3
2003606,Computational Fluid Dynamics (CFD),3
2003607,Six Sigma and Lean manufacturing,3
2003608,Energy Auditing,3
20OE306,"Automotive Electronics, Sensors & Drives",3
20OE307,Robotics and Applications in Manufacturing,3
20OE308,Sensors in Intelligent Manufacturing,3
20OE309,Non-Conventional sources of energy,3
20OE310,Supply Chain Management,3
2003609,Computer Aided Machining Laboratory,1.5
2003610,Computer Aided Drafting Laboratory,1.5
2003611,SOLID WORKS,1.5
20246S4,Soft skills lab (Skill Oriented Course ),2
20MC612,Management Organization Behavior,0
2005103,C-Programming & Data Structures ,3
